epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,199.951,2.23906,0.44266,0.88532,2.24421,0.000235856,0.000235856,0.000235856
2,469.202,1.52374,0.81881,0.98624,1.80546,0.000426944,0.000426944,0.000426944
3,637.952,0.77472,0.90367,0.99771,1.62961,0.000570908,0.000570908,0.000570908
4,804.306,0.51829,0.91055,0.99541,1.57616,0.000501942,0.000501942,0.000501942
5,969.901,0.44584,0.93807,0.99312,1.55891,0.000431256,0.000431256,0.000431256
6,1141.23,0.3581,0.94954,0.99771,1.54391,0.00036057,0.00036057,0.00036057
7,1307.54,0.33989,0.95413,0.99771,1.53628,0.000289884,0.000289884,0.000289884
8,1474.37,0.30742,0.95642,0.99771,1.53179,0.000219198,0.000219198,0.000219198
9,1642.62,0.27886,0.96101,0.99771,1.52441,0.000148512,0.000148512,0.000148512
10,1809.54,0.25956,0.96101,0.99771,1.52285,7.7826e-05,7.7826e-05,7.7826e-05
